EAN,SKU,Reference,Style,color,UK Size,article_number,outer_material,brand,EU Size,comodity,MRP,PPCN
8909443018929,DISNEY6400YELLOWKBRV-26,MISS CHIEF DISNEY 6400,DISNEY6400KBRV,Yellow-Blue,7C,DISNEY6400YELLOWKBRV,EVA,Miss & Chief,26,Clogs,1699,24
8909443018936,DISNEY6400YELLOWKBRV-27,MISS CHIEF DISNEY 6400,DISNEY6400KBRV,Yellow-Blue,8C,DISNEY6400YELLOWKBRV,EVA,Miss & Chief,27,Clogs,1699,24
8909443018943,DISNEY6400YELLOWKBRV-28,MISS CHIEF DISNEY 6400,DISNEY6400KBRV,Yellow-Blue,9C,DISNEY6400YELLOWKBRV,EVA,Miss & Chief,28,Clogs,1699,24
8909443018950,DISNEY6400YELLOWKBRV-29,MISS CHIEF DISNEY 6400,DISNEY6400KBRV,Yellow-Blue,10C,DISNEY6400YELLOWKBRV,EVA,Miss & Chief,29,Clogs,1699,24
8909443018967,DISNEY6400YELLOWKBRV-30,MISS CHIEF DISNEY 6400,DISNEY6400KBRV,Yellow-Blue,11C,DISNEY6400YELLOWKBRV,EVA,Miss & Chief,30,Clogs,1699,24
8909443018974,DISNEY6400YELLOWKBRV-31,MISS CHIEF DISNEY 6400,DISNEY6400KBRV,Yellow-Blue,12C,DISNEY6400YELLOWKBRV,EVA,Miss & Chief,31,Clogs,1699,24
8909443018981,DISNEY6400YELLOWKBRV-32,MISS CHIEF DISNEY 6400,DISNEY6400KBRV,Yellow-Blue,13C,DISNEY6400YELLOWKBRV,EVA,Miss & Chief,32,Clogs,1699,24
8909443018998,DISNEY6400YELLOWKBRV-33,MISS CHIEF DISNEY 6400,DISNEY6400KBRV,Yellow-Blue,1,DISNEY6400YELLOWKBRV,EVA,Miss & Chief,33,Clogs,1699,24
8909443019001,DISNEY6400YELLOWKBRV-34,MISS CHIEF DISNEY 6400,DISNEY6400KBRV,Yellow-Blue,2,DISNEY6400YELLOWKBRV,EVA,Miss & Chief,34,Clogs,1699,24
8909443019018,DISNEY6400YELLOWKBRV-35,MISS CHIEF DISNEY 6400,DISNEY6400KBRV,Yellow-Blue,3,DISNEY6400YELLOWKBRV,EVA,Miss & Chief,35,Clogs,1699,24
8909443020588,DISNEY6401BLUEKBRV-24,MISS CHIEF DISNEY 6401,DISNEY6401KBRV,Sea Blue,5C,DISNEY6401BLUEKBRV,EVA,Miss & Chief,24,Clogs,1699,24
8909443020595,DISNEY6401BLUEKBRV-25,MISS CHIEF DISNEY 6401,DISNEY6401KBRV,Sea Blue,6C,DISNEY6401BLUEKBRV,EVA,Miss & Chief,25,Clogs,1699,24
8909443020601,DISNEY6401BLUEKBRV-26,MISS CHIEF DISNEY 6401,DISNEY6401KBRV,Sea Blue,7C,DISNEY6401BLUEKBRV,EVA,Miss & Chief,26,Clogs,1699,24
8909443020618,DISNEY6401BLUEKBRV-27,MISS CHIEF DISNEY 6401,DISNEY6401KBRV,Sea Blue,8C,DISNEY6401BLUEKBRV,EVA,Miss & Chief,27,Clogs,1699,24
8909443020632,DISNEY6401BLUEKBRV-29,MISS CHIEF DISNEY 6401,DISNEY6401KBRV,Sea Blue,10C,DISNEY6401BLUEKBRV,EVA,Miss & Chief,29,Clogs,1699,24
8909443020649,DISNEY6401BLUEKBRV-30,MISS CHIEF DISNEY 6401,DISNEY6401KBRV,Sea Blue,11C,DISNEY6401BLUEKBRV,EVA,Miss & Chief,30,Clogs,1699,24
8909443020656,DISNEY6401BLUEKBRV-31,MISS CHIEF DISNEY 6401,DISNEY6401KBRV,Sea Blue,12C,DISNEY6401BLUEKBRV,EVA,Miss & Chief,31,Clogs,1699,24
8909443020663,DISNEY6401BLUEKBRV-32,MISS CHIEF DISNEY 6401,DISNEY6401KBRV,Sea Blue,13C,DISNEY6401BLUEKBRV,EVA,Miss & Chief,32,Clogs,1699,24
8909443020670,DISNEY6401BLUEKBRV-33,MISS CHIEF DISNEY 6401,DISNEY6401KBRV,Sea Blue,1,DISNEY6401BLUEKBRV,EVA,Miss & Chief,33,Clogs,1699,24
8909443020687,DISNEY6401BLUEKBRV-34,MISS CHIEF DISNEY 6401,DISNEY6401KBRV,Sea Blue,2,DISNEY6401BLUEKBRV,EVA,Miss & Chief,34,Clogs,1699,24
8909443020694,DISNEY6401BLUEKBRV-35,MISS CHIEF DISNEY 6401,DISNEY6401KBRV,Sea Blue,3,DISNEY6401BLUEKBRV,EVA,Miss & Chief,35,Clogs,1699,24
8909443020465,DISNEY6401NAVYKBRV-24,MISS CHIEF DISNEY 6401,DISNEY6401KBRV,Navy Blue,5C,DISNEY6401NAVYKBRV,EVA,Miss & Chief,24,Clogs,1699,24
8909443020472,DISNEY6401NAVYKBRV-25,MISS CHIEF DISNEY 6401,DISNEY6401KBRV,Navy Blue,6C,DISNEY6401NAVYKBRV,EVA,Miss & Chief,25,Clogs,1699,24
8909443020489,DISNEY6401NAVYKBRV-26,MISS CHIEF DISNEY 6401,DISNEY6401KBRV,Navy Blue,7C,DISNEY6401NAVYKBRV,EVA,Miss & Chief,26,Clogs,1699,24
8909443020496,DISNEY6401NAVYKBRV-27,MISS CHIEF DISNEY 6401,DISNEY6401KBRV,Navy Blue,8C,DISNEY6401NAVYKBRV,EVA,Miss & Chief,27,Clogs,1699,24
8909443020502,DISNEY6401NAVYKBRV-28,MISS CHIEF DISNEY 6401,DISNEY6401KBRV,Navy Blue,9C,DISNEY6401NAVYKBRV,EVA,Miss & Chief,28,Clogs,1699,24
8909443020519,DISNEY6401NAVYKBRV-29,MISS CHIEF DISNEY 6401,DISNEY6401KBRV,Navy Blue,10C,DISNEY6401NAVYKBRV,EVA,Miss & Chief,29,Clogs,1699,24
8909443020526,DISNEY6401NAVYKBRV-30,MISS CHIEF DISNEY 6401,DISNEY6401KBRV,Navy Blue,11C,DISNEY6401NAVYKBRV,EVA,Miss & Chief,30,Clogs,1699,24
8909443020533,DISNEY6401NAVYKBRV-31,MISS CHIEF DISNEY 6401,DISNEY6401KBRV,Navy Blue,12C,DISNEY6401NAVYKBRV,EVA,Miss & Chief,31,Clogs,1699,24
8909443020540,DISNEY6401NAVYKBRV-32,MISS CHIEF DISNEY 6401,DISNEY6401KBRV,Navy Blue,13C,DISNEY6401NAVYKBRV,EVA,Miss & Chief,32,Clogs,1699,24
8909443020557,DISNEY6401NAVYKBRV-33,MISS CHIEF DISNEY 6401,DISNEY6401KBRV,Navy Blue,1,DISNEY6401NAVYKBRV,EVA,Miss & Chief,33,Clogs,1699,24
